Title,Site address,Subsite Count,Size (MB),Site owners,Migrate,SP Site Template,Batch
Development & Operations Management Lite,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/BTISML/Applications/,,2150.4,Brooke Margetts,,,1
Data and Information Management Lite Site,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/BTISML/IADMLS/,,548.7,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,1
Digital Portfolio Office Management Lite,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/BTISML/DPOML/,,6860.8,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,1
Business Systems Management Lite,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/BTISML/BSML/,,0.85,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,1
BTIS Management Lite,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/BTISML/,,9523.2,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,1
BTIS News,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/News/,,5.9,,,,1
BTIS Team Management,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/MGMT/,,32051.2,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,1
Director's Blog (Archived),https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/blog/,,229.1,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,1
BTIS Team Administration,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/,,71065.6,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,1
Strategy & Assurance Management Lite,https://piritahi.cohesion.net.nz/Sites/WWA/CS/BTIS/BTISML/SC/,,1.4,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,1
,,,,,,,
Compliance & Governance ICT Blog,https://piritahi.cohesion.net.nz/Sites/DISM/ICTProduct/CG/Blog/,,0.52,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,2
Fisheries NZ ICT Blog,https://piritahi.cohesion.net.nz/Sites/DISM/ICTProduct/Fisheries/Blog/,,0.31,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,2
Corporate Services ICT Blog,https://piritahi.cohesion.net.nz/Sites/DISM/ICTProduct/CS/Blog/,,0.47,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,2
Policy & Trade ICT Blog,https://piritahi.cohesion.net.nz/Sites/DISM/ICTProduct/PT/Blog/,,0.47,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,2
Te Uru Rākau ICT Blog,https://piritahi.cohesion.net.nz/Sites/DISM/ICTProduct/TUR/Blog/,,0.31,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,2
NZFS Blog,https://piritahi.cohesion.net.nz/Sites/DISM/ICTProduct/NZFS/Blog/,,0.47,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,2
Agriculture & Investment Services,https://piritahi.cohesion.net.nz/Sites/DISM/ICTProduct/AIS/,,2150.4,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,2
Corporate Services,https://piritahi.cohesion.net.nz/Sites/DISM/ICTProduct/CS/,,683.2,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,2
